company_name;Ticker;sector;Executive Name;Title;job_function;Age;Year Born;survey_year;country_code;annual_base_salary;target_total_cash;target_total_direct_compensation;market_cap;ebitda;totalDebt;quickRatio;currentRatio;total_revenue;debtToEquity;revenuePerShare;returnOnAssets;returnOnEquity;gross_profits;free_cash_flow;operating_cash_flow;earningsGrowth;revenueGrowth;grossMargins;ebitdaMargins;operating_margins;profitMargins;financialCurrency
Apple Inc.;AAPL;Technology;Mr. Kevan  Parekh;Senior VP & CFO;OBM;52;1972;2024;US;1.000.000;3.000.000;23.000.000;3,05E+12;1,39E+11;98186002432;0,68;0,82;4,00E+11;146994;26455;0,24;138015;1,87E+11;97251500032;1,10E+11;0,08;0,05;0,47;0,35;0,31;0,24;USD
The Boeing Company;BA;Industrials;Mr. Robert K. Ortberg;President, CEO & Director;CEO;64;1960;2024;US;1.500.000;4.500.000;20.500.000;1,59E+11;-7688000000;55878000640;0,35;1232;69444001792;;101,82;-0,04;;-1244000000;-7940499968;-10334000128;;0,18;-0,02;-0,11;0,03;-0,17;USD
The Boeing Company;BA;Industrials;Mr. Brian J. West;Executive VP of Finance & CFO;OBM;54;1970;2024;US;1.000.000;2.100.000;8.100.000;1,59E+11;-7688000000;55878000640;0,35;1232;69444001792;;101,82;-0,04;;-1244000000;-7940499968;-10334000128;;0,18;-0,02;-0,11;0,03;-0,17;USD
The Boeing Company;BA;Industrials;Mr. Brett C. Gerry J.D.;Chief Legal Officer & Executive VP of Global Compliance;OBM;52;1972;2024;US;900.000;1.800.000;5.800.000;1,59E+11;-7688000000;55878000640;0,35;1232;69444001792;;101,82;-0,04;;-1244000000;-7940499968;-10334000128;;0,18;-0,02;-0,11;0,03;-0,17;USD
The Boeing Company;BA;Industrials;Ms. Stephanie F. Pope;Executive Vice President;OBM;51;1973;2024;US;1.200.000;3.200.000;13.200.000;1,59E+11;-7688000000;55878000640;0,35;1232;69444001792;;101,82;-0,04;;-1244000000;-7940499968;-10334000128;;0,18;-0,02;-0,11;0,03;-0,17;USD
The Boeing Company;BA;Industrials;Mr. D. Christopher Raymond;Executive VP & CEO of Boeing Global Services;OBM;59;1965;2024;US;700.000;1.400.000;4.000.000;1,59E+11;-7688000000;55878000640;0,35;1232;69444001792;;101,82;-0,04;;-1244000000;-7940499968;-10334000128;;0,18;-0,02;-0,11;0,03;-0,17;USD
Caterpillar Inc.;CAT;Industrials;Mr. D. James Umpleby III;Executive Chairman of the Board;CEO;66;1958;2024;US;1.825.000;5.175.000;19.775.000;1,66E+11;14789999616;38587998208;0,69;1,32;63259000832;213547;131256;0,09;0,56;20144001024;6817750016;11271999488;-0,27;-0,1;0,32;0,23;0,18;0,16;USD
Caterpillar Inc.;CAT;Industrials;Mr. Joseph E. Creed CPA;CEO & Director;OBM;48;1976;2024;US;1.110.000;2.553.000;7.581.300;1,66E+11;14789999616;38587998208;0,69;1,32;63259000832;213547;131256;0,09;0,56;20144001024;6817750016;11271999488;-0,27;-0,1;0,32;0,23;0,18;0,16;USD
Caterpillar Inc.;CAT;Industrials;Mr. Andrew R. J. Bonfield;Chief Financial Officer;OBM;62;1962;2024;US;957.100;2.057.765;6.393.428;1,66E+11;14789999616;38587998208;0,69;1,32;63259000832;213547;131256;0,09;0,56;20144001024;6817750016;11271999488;-0,27;-0,1;0,32;0,23;0,18;0,16;USD
Caterpillar Inc.;CAT;Industrials;Ms. Denise C. Johnson;Group President of Resource Industries;OBM;58;1966;2024;US;898.600;1.931.990;6.002.648;1,66E+11;14789999616;38587998208;0,69;1,32;63259000832;213547;131256;0,09;0,56;20144001024;6817750016;11271999488;-0,27;-0,1;0,32;0,23;0,18;0,16;USD
Caterpillar Inc.;CAT;Industrials;Mr. Bob  De Lange;Group President of Services, Distribution & Digital;OBM;54;1970;2024;US;962.700;2.069.805;6.430.836;1,66E+11;14789999616;38587998208;0,69;1,32;63259000832;213547;131256;0,09;0,56;20144001024;6817750016;11271999488;-0,27;-0,1;0,32;0,23;0,18;0,16;USD
Chevron Corporation;CVX;Energy;Mr. Michael K. Wirth;Chairman & CEO;CEO;63;1961;2024;US;1.900.000;5.035.000;22.535.000;2,43E+11;38499999744;29681000448;0,68;1,08;1,95E+11;19777;109273;0,05;0,1;75975000064;13518749696;29852999680;-0,33;-0,01;0,39;0,2;0,11;0,08;USD
Chevron Corporation;CVX;Energy;Ms. Eimear P. Bonner;VP & Chief Financial Officer;OBM;49;1975;2024;US;1.000.000;2.100.000;6.386.100;2,43E+11;38499999744;29681000448;0,68;1,08;1,95E+11;19777;109273;0,05;0,1;75975000064;13518749696;29852999680;-0,33;-0,01;0,39;0,2;0,11;0,08;USD
Chevron Corporation;CVX;Energy;Mark A. Nelson;;OBM;61;1963;2024;US;1.275.000;2.805.000;8.398.500;2,43E+11;38499999744;29681000448;0,68;1,08;1,95E+11;19777;109273;0,05;0,1;75975000064;13518749696;29852999680;-0,33;-0,01;0,39;0,2;0,11;0,08;USD
